City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
144,Rebrikha,98,RU,1589961217,49,53.07,82.34,290.63,6.02
145,Ribeira Grande,20,PT,1589961078,82,38.52,-28.7,287.15,2.1
146,San Patricio,0,MX,1589961145,83,19.22,-104.7,294.94,2.21
147,Florø,20,NO,1589961218,61,61.6,5.03,282.15,2.1
148,Leningradskiy,88,RU,1589961223,96,69.38,178.42,270.9,1.93
149,Hurghada,0,EG,1589961224,34,27.26,33.81,307.15,2.29
150,Rehnān,21,IR,1589961225,36,32.68,51.6,297.15,3.1
151,Mulchén,97,CL,1589961226,91,-37.72,-72.23,281.61,0.65
152,Beringovskiy,98,RU,1589961227,95,63.05,179.32,272.07,7.1
153,Mishelevka,40,RU,1589961228,32,52.86,103.17,294.73,5.93
154,Saint George,1,US,1589961054,30,37.1,-113.58,287.15,3.1
155,Lompoc,1,US,1589961231,93,34.64,-120.46,285.15,5.1
156,Tuatapere,9,NZ,1589961232,81,-46.13,167.68,279.88,2.53
157,Clyde River,1,CA,1589961091,78,70.47,-68.59,260.15,1.0
158,Tiksi,0,RU,1589961129,88,71.69,128.87,274.56,3.36
159,Kang,0,BW,1589961235,32,-23.68,22.79,292.24,5.14
160,Ilulissat,0,GL,1589961236,92,69.22,-51.1,272.15,1.5
161,Lyuban',42,BY,1589961237,70,52.8,28.0,284.75,6.6
162,Dublin,90,US,1589961240,76,37.7,-121.94,287.15,4.6
163,Salalah,0,OM,1589961241,66,17.02,54.09,305.15,5.7
164,Ambon City,40,ID,1589961236,79,-3.7,128.18,303.15,3.1
165,Lakes Entrance,0,AU,1589961244,59,-37.88,147.98,287.59,1.79
166,Hirara,75,JP,1589961245,78,24.8,125.28,299.15,5.7
167,Pindwāra,0,IN,1589961246,7,24.8,73.07,314.29,4.99
168,Alenquer,75,BR,1589961041,100,-1.94,-54.74,296.15,7.2
169,Ostrovnoy,85,RU,1589961248,83,68.05,39.51,275.43,8.75
170,Tokur,99,RU,1589961251,77,53.13,132.9,283.78,2.75
171,Adrar,38,MR,1589961252,13,20.5,-10.07,304.73,2.14
172,Djebeniana,20,TN,1589961205,44,35.03,10.91,298.15,4.6
173,Moindou,6,NC,1589961254,77,-21.69,165.68,293.15,4.1
174,Laramie,1,US,1589960980,41,41.31,-105.59,289.15,10.3
175,Chokurdakh,62,RU,1589961151,98,70.63,147.92,271.68,3.11
176,Kirkwall,100,GB,1589961258,93,58.98,-2.96,285.15,6.2
177,Channel-Port aux Basques,0,CA,1589961259,88,47.57,-59.14,274.28,5.04
178,Rabo de Peixe,75,PT,1589961260,93,37.8,-25.58,289.15,3.6
179,Moose Factory,1,CA,1589961261,52,51.26,-80.61,281.15,2.6
180,Te Anau,100,NZ,1589961152,82,-45.42,167.72,278.78,1.39
181,New Norfolk,100,AU,1589961048,67,-42.78,147.06,285.93,0.45
182,Soest,90,DE,1589961264,77,51.58,8.11,289.26,2.1
183,San Cristobal,100,VE,1589961266,85,7.77,-72.22,293.02,1.08
184,Yaring,20,TH,1589961267,63,6.87,101.37,306.15,4.1
185,Lavrentiya,0,RU,1589961268,95,65.58,-171.0,270.34,3.38
186,Kokopo,30,PG,1589961270,80,-4.35,152.26,300.57,3.89
187,Lidköping,31,SE,1589961271,62,58.51,13.16,285.93,3.6
188,Hofn,100,IS,1589961272,74,64.25,-15.21,279.06,6.63
189,Luanda,40,AO,1589961125,88,-8.84,13.23,299.15,1.5
190,Shimoda,40,JP,1589961274,77,34.67,138.95,291.15,5.7
191,Ponta Delgada,75,PT,1589961118,93,37.73,-25.67,289.15,3.6
192,Vaini,75,TO,1589961035,78,-21.2,-175.2,297.15,5.7
193,Longyearbyen,75,SJ,1589961245,80,78.22,15.64,274.15,3.1
194,Kahului,75,US,1589961266,78,20.89,-156.47,297.15,3.1
195,Yasnyy,51,RU,1589961281,43,51.03,59.87,285.23,7.48
196,Husavik,57,IS,1589961282,80,66.04,-17.34,275.15,5.7
197,Esil,37,KZ,1589961283,54,51.96,66.4,290.24,9.68
198,Newport,58,GB,1589961284,96,51.59,-3.0,287.59,1.79
199,Tateyama,40,JP,1589961285,77,34.98,139.87,291.15,5.7
200,Zaysan,73,KZ,1589961286,42,47.47,84.87,296.07,5.44
201,Newtonmore,40,GB,1589961288,87,57.07,-4.12,291.48,1.0
202,Carnarvon,0,AU,1589961159,44,-24.87,113.63,299.15,7.7
203,Kincardine,85,GB,1589961290,72,56.07,-3.72,290.15,0.5
204,Santa Isabel Rio Negro,100,BR,1589961291,99,-0.41,-65.02,296.39,0.86
205,Zhangjiakou Shi Xuanhua Qu,99,CN,1589961292,16,40.61,115.04,300.16,4.19
206,Phalia,0,PK,1589961293,11,32.43,73.58,311.94,3.56
207,Tuktoyaktuk,3,CA,1589961225,95,69.45,-133.04,265.67,1.72
208,Lagoa,100,PT,1589961296,75,39.05,-27.98,289.17,2.56
209,Aden,0,YE,1589961196,71,12.78,45.04,304.91,5.23
210,Pitimbu,73,BR,1589961298,87,-7.47,-34.81,298.67,3.97
211,Shingū,40,JP,1589961299,43,33.73,135.98,296.15,7.7
212,Mazamari,32,PE,1589961301,79,-11.33,-74.53,292.94,0.87
213,Saint-Augustin,66,CA,1589961303,91,51.23,-58.65,274.04,2.85
214,Hamilton,90,US,1589961304,93,39.18,-84.53,286.48,3.6
215,Keffi,75,NG,1589961305,72,8.85,7.87,301.03,0.96
216,Muisne,99,EC,1589961306,85,0.6,-80.03,298.0,2.14
217,Zhongshu,99,CN,1589961307,45,24.52,103.77,302.0,6.53
218,Yeppoon,90,AU,1589961308,82,-23.13,150.73,292.15,2.6
219,Kungurtug,22,RU,1589961309,22,50.6,97.52,294.59,4.15
220,Ulladulla,4,AU,1589961310,49,-35.35,150.47,293.15,4.6
221,Alofi,99,NU,1589961232,94,-19.06,-169.92,298.15,2.6
222,Quatre Cocos,40,MU,1589961051,65,-20.21,57.76,298.71,6.2
223,Katsuura,75,JP,1589961230,82,35.13,140.3,289.82,6.2
224,Meulaboh,99,ID,1589961315,73,4.14,96.13,300.73,0.89
225,Trzebiatów,0,PL,1589961316,71,54.06,15.26,284.82,4.05
226,Karratha,0,AU,1589961317,30,-20.74,116.85,301.78,6.17
227,Pires do Rio,98,BR,1589961208,83,-17.3,-48.28,291.75,4.22
228,Bonfim,30,BR,1589961319,84,3.08,-59.95,298.3,1.48
229,Lambaréné,100,GA,1589961320,96,-0.7,10.24,297.08,0.58
230,Iskateley,100,RU,1589961321,87,67.68,53.15,279.21,7.88
231,Anadyr,0,RU,1589961322,59,64.75,177.48,275.15,5.0
232,Litovko,68,RU,1589961333,40,49.24,135.17,293.51,3.39
233,Ajdabiya,0,LY,1589961334,50,30.76,20.23,299.93,10.67
234,Kuril'sk,1,RU,1589961335,81,45.23,147.88,276.37,3.43
235,Holme,45,DK,1589961337,81,56.11,10.17,285.93,1.5
236,Isla Mujeres,40,MX,1589961289,100,21.23,-86.73,300.37,2.6
237,Xai-Xai,0,MZ,1589961339,59,-25.05,33.64,298.47,0.68
238,Vanimo,67,PG,1589961340,79,-2.67,141.3,301.68,3.25
239,Seoul,75,KR,1589961051,52,37.57,126.98,294.15,1.5
240,Panama City,100,PA,1589961062,100,8.99,-79.52,297.04,1.5
241,Vengerovo,0,RU,1589961343,35,55.68,76.75,293.38,4.6
242,Souillac,40,MU,1589961037,65,-20.52,57.52,298.15,6.2
243,Bairiki Village,20,KI,1589961346,74,1.33,172.98,302.15,6.2
244,Torbay,75,CA,1589961127,97,47.67,-52.73,273.71,4.1
245,Faanui,38,PF,1589961195,76,-16.48,-151.75,300.47,5.03
246,Binga,0,ZW,1589961359,49,-17.62,27.34,294.56,3.57
247,Arlit,0,NE,1589961360,8,18.74,7.39,310.33,1.95
248,Zonguldak,100,TR,1589961361,39,41.25,31.83,302.75,0.3
249,Fuyang,98,CN,1589961362,25,32.9,115.82,304.64,4.05
250,Liptovský Mikuláš,20,SK,1589961363,50,49.08,19.62,289.26,8.2
251,Sokol,100,RU,1589961364,98,59.46,40.12,274.56,3.56
252,Mar del Plata,100,AR,1589961193,93,-38.0,-57.56,288.15,1.0
253,Aberdeen,100,GB,1589961366,77,57.14,-2.1,289.26,2.6
254,Monte Alegre,39,BR,1589961367,96,-2.01,-54.07,296.16,1.12
255,Baní,100,DO,1589961370,82,18.28,-70.33,299.82,1.34
256,Padang,98,ID,1589961292,60,-0.95,100.35,303.92,3.02
257,Sladkovo,79,RU,1589961372,43,55.53,70.34,292.72,6.71
258,Bambanglipuro,15,ID,1589961156,79,-7.95,110.28,302.2,5.0
259,Sabancuy,0,MX,1589961375,81,18.97,-91.18,299.46,3.63
260,Khani,11,GE,1589961376,41,41.96,42.96,298.15,8.2
261,Presidencia Roque Sáenz Peña,99,AR,1589961377,49,-26.79,-60.44,296.89,4.41
262,Half Moon Bay,90,US,1589961378,71,37.46,-122.43,287.59,4.1
263,Al Bardīyah,0,LY,1589961379,36,31.76,25.09,302.03,2.49
264,Salamiyah,0,SY,1589961381,17,35.01,37.05,305.8,1.58
265,Bourail,13,NC,1589961382,79,-21.57,165.48,293.5,3.18
266,Anastácio,0,BR,1589961383,74,-20.48,-55.81,292.58,2.21
267,Praia,40,CV,1589961169,73,14.92,-23.51,295.15,7.2
268,Koson,6,UZ,1589961386,23,39.04,65.58,301.15,3.1
269,Yerofey Pavlovich,92,RU,1589961387,37,53.97,121.97,290.78,0.77
270,Souris,5,CA,1589961388,82,49.62,-100.26,288.71,2.1
271,Cururupu,77,BR,1589961389,96,-1.83,-44.87,297.3,1.08
272,Bandarbeyla,46,SO,1589961390,45,9.49,50.81,307.26,6.79
273,Makkah al Mukarramah,0,SA,1589961394,18,21.43,39.83,311.42,2.68
274,Prince Rupert,90,CA,1589961396,93,54.32,-130.32,281.15,2.1
275,Solnechnyy,100,RU,1589961315,68,50.72,136.63,286.7,1.09
276,Dalvik,83,IS,1589961398,80,65.97,-18.53,275.15,5.7
277,Kemijärvi,77,FI,1589961399,92,66.71,27.43,276.64,1.82
278,Uthal,0,PK,1589961400,8,25.81,66.62,315.98,2.57
279,Talaya,67,RU,1589961401,76,61.38,152.75,278.48,3.22
280,Touros,75,BR,1589961340,100,-5.2,-35.46,297.15,1.5
281,Havøysund,20,NO,1589961404,69,71.0,24.66,277.15,2.1
282,Bereket,0,TM,1589961405,25,39.24,55.52,298.82,4.77
283,Dwārka,0,IN,1589961406,58,22.24,68.97,304.83,5.45
284,Kloulklubed,90,PW,1589961410,88,7.04,134.26,300.15,4.1
285,Eirunepé,31,BR,1589961114,97,-6.66,-69.87,295.59,0.25
286,Shimanovsk,83,RU,1589961412,40,52.0,127.7,291.93,2.56
287,Yangi Marg`ilon,0,UZ,1589961413,22,40.43,71.72,299.15,3.1
288,San Juan,15,AR,1589961414,56,-31.54,-68.54,286.07,7.9
289,Huntington,90,US,1589961158,87,38.42,-82.45,284.26,3.6
290,Poum,72,NC,1589961417,64,-20.23,164.02,296.62,2.2
291,Inuvik,5,CA,1589961336,68,68.35,-133.72,271.15,2.6
